originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
OML,0,-170.990853909922,-206.929678560668,-206.553000127336,-207.626375201045,-232.728372373026,-222.040881792282,-182.507175696232,-349.828485102369
OML,0,-162.683861951645,-246.882541162827,-215.476994638589,-167.116646687959,-364.484495366376,-215.860478503417,-182.134424435366,-166.592919774907
OML,0,-160.170953461398,-188.911588765644,-202.245321257887,-165.797008587064,-223.588278972651,-205.974771587723,-169.97256307734,-164.096108319714
OML,0,-168.189380856182,-289.65962989931,-214.304301208094,-202.05294527453,-240.147108931493,-278.005825929117,-178.699511613077,-289.195280802764
OML,0,-162.760487945568,-237.994143966064,-209.17683337148,-185.94802689594,-237.626361006051,-234.208425927982,-191.144114650637,-267.332987164427
OML,0,-169.500464009154,-250.937219956044,-215.310339092062,-188.661501821367,-313.457786905806,-222.251642985538,-183.320623676972,-301.746900094607
OML,0,-175.1690878203,-215.835890909735,-203.904544702887,-208.889722270438,-235.458321141777,-238.300504622932,-170.668545389087,-264.150229474954
OML,0,-155.674829511243,-208.167328137548,-214.093993577502,-178.606901723992,-279.074755292811,-268.172564410272,-170.433761633207,-293.340545407856
OML,0,-157.537175230855,-237.905202522257,-207.498691269495,-176.522326357078,-255.012229200291,-248.177050071871,-165.646837249955,-159.372022328294
OML,0,-192.239861878229,-237.798728287571,-216.181023180813,-204.929987626834,-314.956663706276,-208.528886430207,-187.969504165645,-498.798680951817
OML,0,-178.220116799595,-315.404438207872,-217.445008876659,-195.817272099877,-265.704688229159,-295.207854672677,-183.401012844309,-195.573152601314
OML,0,-170.227143554746,-296.746942804007,-215.642784654309,-194.310188499548,-364.220080256965,-315.450886247989,-190.193060731217,-437.111702762822
OML,0,-174.951449202614,-217.461236205375,-202.381553899985,-207.668578320455,-256.597469806639,-276.428021917836,-181.637069330753,-392.549535686235
OML,0,-155.297716924984,-226.622775556129,-208.37438297476,-191.273364891192,-259.834273464831,-239.588773405835,-170.732250041424,-189.433525966771
OML,0,-169.024411672026,-202.88119293696,-215.520517342809,-189.302578568094,-247.474699742168,-214.893247447941,-179.335202830066,-224.866604433015
OML,0,-136.580731687116,-182.953888955234,-188.622001259745,-163.807755068388,-233.584411032415,-201.029922230398,-137.004456724674,-139.228986764337
OML,0,-165.653452828058,-242.584184692178,-205.968776545821,-182.81221165537,-256.594322649498,-377.026295196891,-172.178312020737,-171.243166568084
OML,0,-151.568847642237,-292.356557196932,-200.733177209786,-169.525622795756,-229.249999555218,-205.226440747142,-167.874231823032,-209.898762002995
OML,0,-155.216015886535,-206.948487169803,-223.11993559663,-170.902939759129,-265.499503285135,-199.258411176214,-174.684442009683,-213.668616140339
OML,0,-175.052136401901,-288.619471019471,-217.662366976262,-184.46689736829,-281.194906337715,-271.743963073172,-194.419379271779,-311.543541297424
OML,0,-172.405654447734,-193.808155469392,-217.170119634504,-180.562352628526,-237.357105158836,-201.651317387747,-173.955138243489,-182.293397700121
OML,0,-174.802802645206,-204.641882725392,-206.891125354184,-194.229530403396,-233.780727288322,-218.625256061093,-213.735777615459,-428.983028582246
OML,0,-168.258925857759,-199.682007101326,-205.582756047889,-180.036639718998,-271.775749325762,-206.474233276646,-170.748040220787,-171.253355431474
OML,0,-164.00201262762,-187.461877813903,-223.160578537364,-176.432383450593,-288.499561611655,-189.507035824936,-265.605561511819,-762.743726892706
OML,0,-147.504547445928,-213.095084316851,-210.539721075512,-175.838068376404,-276.566408540337,-225.883060223335,-165.951885284227,-220.326046944235
OML,0,-170.352686587051,-219.251345710888,-210.534595417704,-199.036479641062,-275.410695507428,-239.827806563736,-186.296968909833,-569.849146033887
OML,0,-176.383000280142,-261.156298266647,-211.924490955981,-182.193091840533,-326.905337322695,-277.966808785713,-196.387471219203,-349.803458945944
OML,0,-218.607220594005,-257.03043517726,-223.552713964177,-197.447956847474,-265.147354696403,-353.957643167638,-223.252003105034,-264.044394293693
OML,0,-163.145681036095,-206.278523475972,-200.640645136619,-183.812073073107,-268.53481793224,-222.210019312532,-165.344492874447,-191.78604863579
OML,0,-188.143635443036,-242.536252745714,-227.318160134697,-202.759439653281,-273.942410766478,-267.890379524739,-214.277677174413,-212.518559842964
OML,0,-180.969855878109,-248.863210620914,-214.667082714681,-186.238388271243,-334.086286840363,-244.521925050385,-180.509082060422,-195.257557221598
OML,0,-165.317559951794,-216.02805866131,-213.355303953956,-182.674994144275,-258.261843868259,-249.237488016678,-175.495065423634,-166.29572100812
OML,0,-175.365717587512,-294.503304387443,-219.499880170797,-191.127070938985,-260.367563680895,-238.829676034052,-186.835162543988,-204.666899520808
OML,0,-172.17766967669,-208.677174670688,-212.334564978568,-196.346517022453,-247.929752270723,-249.43726217306,-177.156124571655,-237.535621524203
OML,0,-160.283430755701,-187.316449700512,-207.40507607141,-181.287872739022,-251.332629881517,-193.672835988221,-159.960411724806,-175.54732209182
OML,0,-160.739621337727,-208.796419455662,-208.14380991204,-184.287751297823,-261.128417530444,-235.850818535422,-170.842241214031,-236.129208655272
OML,0,-178.91466114931,-221.965960503767,-210.787386623563,-190.371901107662,-250.53506620736,-223.387089646913,-183.373984087822,-218.9287809371
OML,0,-162.300329914097,-240.665352608183,-286.939793136103,-178.407275830433,-335.116092889756,-349.775547521936,-221.85769663838,-310.350496509945
OML,0,-162.99884293737,-206.233429096161,-195.435828634318,-177.613751972945,-219.261704253018,-217.336796943257,-165.439332865234,-438.477232832643
OML,0,-149.004576365337,-201.821657310961,-190.520871964469,-173.970197471272,-213.852552653467,-215.016123556376,-144.892865407565,-232.822136208444
OML,0,-155.307956529001,-228.467965491417,-208.196690175063,-172.721483232971,-237.366277923582,-213.934336805262,-181.461952550996,-361.677132144663
OML,0,-175.68423504683,-220.383806361834,-203.778388923077,-182.653003648624,-293.437944175442,-234.014955237555,-190.881401793203,-258.120883365205
OML,0,-167.700086295775,-257.089559405363,-204.369212529734,-191.84987780952,-242.962414742519,-225.281786476173,-182.53484399425,-224.637342701761
OML,0,-145.453564319676,-212.714724309196,-203.240557173313,-176.87510299137,-246.188247519848,-231.37572618081,-160.314144106046,-252.418536496404
OML,0,-152.442149668791,-187.774326626415,-203.324474133385,-161.259043309134,-235.71883840184,-199.778023756503,-161.705904343956,-765.510560580692
OML,0,-163.442974578844,-217.770206648874,-209.985689838976,-183.346454063894,-260.099139385719,-221.614143665755,-164.976472304344,-220.566299688355
OML,0,-157.577992098882,-206.804136299761,-198.399707696741,-169.235053637492,-224.410004935544,-203.893990329962,-163.453393798806,-405.865996895542
OML,0,-148.039730682885,-204.838467670491,-199.180482127063,-168.714374489943,-261.327935486223,-226.704667073641,-157.716216158763,-174.014062190572
OML,0,-178.247520733732,-261.883748518948,-211.100853918249,-209.561160943258,-273.596604277178,-315.235415453693,-180.39493171782,-364.626740182669
OML,0,-165.139649701328,-342.14443973656,-233.448328539119,-183.194472814641,-267.747651657421,-247.402062684206,-182.668598292025,-245.603000197682
OML,0.1,-173.517728145663,-213.201576340071,-205.279482664724,-177.827884100141,-268.403995916762,-204.609981668518,-175.413191267687,-209.652815679755
OML,0.1,-157.47368489713,-398.28369879476,-217.00874349526,-163.884534103818,-255.685878479567,-238.219488463877,-162.78216009726,-164.470704095982
OML,0.1,-167.276977243294,-240.586002524112,-215.097621122868,-194.870337703038,-249.266902822221,-237.433870826565,-177.947027852457,-258.929750170326
OML,0.1,-177.30790764542,-235.301518092505,-348.187871385257,-201.288945622258,-403.608602960296,-266.5059778861,-280.33683756288,-198.057929578072
OML,0.1,-169.787916778884,-223.735748186331,-223.1009631734,-185.071929037908,-265.66578932915,-220.097738788281,-180.682764151494,-179.26142172281
OML,0.1,-156.857045156888,-177.303927943469,-221.533908077028,-170.312958043732,-235.978013615403,-188.077026850323,-160.631301019262,-244.044012594225
OML,0.1,-170.863108508075,-208.441237224654,-209.820000985974,-193.9635963577,-233.415644913553,-219.035316064204,-170.538481545972,-190.793740857377
OML,0.1,-152.461070305755,-187.975645852801,-199.683676418777,-177.118821499884,-270.758015992767,-200.608205835395,-158.424341240911,-292.619998363232
OML,0.1,-183.62226568881,-252.0533095117,-217.447524258202,-197.734983518912,-405.82505164093,-226.703793782034,-184.572632587913,-255.90377756807
OML,0.1,-165.384872620188,-210.18332403076,-207.024550137329,-192.24257114107,-239.82053065048,-214.308902814913,-169.358671759958,-208.777095121006
OML,0.1,-157.24854091079,-209.605585004507,-214.865370862748,-171.797578543426,-268.989672182352,-218.846890300515,-170.456137259183,-212.498349854381
OML,0.1,-174.045316660939,-222.096345917371,-217.684935550587,-185.042186587043,-265.087797680843,-211.912391491769,-174.924582142519,-209.320598700881
OML,0.1,-157.459528638741,-214.625356932224,-198.39050895295,-183.510003778261,-228.286580485713,-342.226268289811,-166.468397385009,-267.142619158666
OML,0.1,-173.641892204462,-249.027950514536,-207.557198181936,-171.145667800583,-253.018343005301,-226.575754247979,-171.218904193073,-219.28461919211
OML,0.1,-166.448804465506,-321.483643939425,-213.223220549507,-180.920615661669,-306.260405076573,-313.804846431715,-170.148089046346,-325.872620086874
OML,0.1,-168.898143312936,-215.418376125885,-211.135393197738,-186.800622865104,-269.452436018535,-215.356094057677,-194.749857455904,-179.738168189847
OML,0.1,-159.475808016081,-196.004137884438,-202.905160854787,-176.218504942276,-243.301936240591,-215.950714374207,-169.778114741501,-197.581466762578
OML,0.1,-174.183400697382,-238.346913596075,-229.772053411518,-170.142721204918,-315.221499783855,-312.632775962707,-182.941799382811,-226.445617357342
OML,0.1,-165.344700010284,-200.479999552194,-201.091499048334,-191.890239748344,-236.949919672376,-220.740609879049,-169.143468934431,-289.097929606325
OML,0.1,-148.908854258015,-190.327785125487,-196.330989059308,-175.077741634484,-225.424415224495,-228.166124779135,-154.953879535748,-220.927691521621
OML,0.1,-192.72762621139,-256.889276916335,-229.370660018297,-200.697410387369,-255.770349248022,-248.429597683339,-199.928884757912,-226.235226586327
