originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,-167.303250887032,-163.140695663542,-189.393784961505,-164.3505908234,-228.484478615117,-205.18497200358,-182.919926739626,-177.89206616576,-250.494655251927,-204.711286940772,-223.135212404948,-173.962784636543,-185.312630446836,-167.052804434573,-241.268801663496,-164.321181879921
GML,-179.457052436585,-171.329120913848,-160.926370065303,-128.102564753019,-191.319408961901,-185.289896735776,-200.472339546249,-192.514380468854,-324.09255982694,-175.622231620629,-195.477959346493,-131.110459696316,-176.777478792878,-166.070037604702,-178.558377023667,-171.251289822795
Competitive Suppression,-239.165408917238,-211.361194171905,-270.419890303366,-204.687509907028,-181.148529443718,-163.962983221981,-272.99439707965,-230.957661166111,-234.344473594021,-175.454488103272,-310.458648774442,-210.93252880396,-180.830673219547,-166.68009643975,-261.73344746349,-211.304001482353
Direct Suppression,-185.653907811854,-180.519215388338,-260.468218212836,-180.978365253074,-226.197625204601,-222.288144574129,-179.169085046772,-172.49800274704,-268.639561218948,-219.963960297991,-229.585003310079,-172.612462048092,-184.949380559057,-180.598122829269,-227.468951309178,-172.422787781234
Generalized Competitive Suppression,-204.181622978936,-199.37981373424,-185.885365499729,-161.781123842788,-182.535581886934,-166.6870319902,-224.378123757493,-220.369246602552,-292.492413253542,-150.534591893581,-184.641898110038,-168.037448265993,-186.166437494709,-166.19424382802,-236.706382587159,-199.327380225405
Generalized Direct Suppression,-166.759004906045,-163.336086311439,-154.433932240318,-122.341185649006,-188.12293349632,-184.926264171429,-186.818382812971,-183.555042573031,-188.407427446348,-171.838908285792,-139.36792316484,-118.933166307508,-161.856829398078,-154.60985078051,-178.36011752211,-164.950044458896
ROE Competitive Suppression,-158.76146487162,-153.717306592848,-294.600494033293,-152.497814278628,-174.200359931415,-170.257606606916,-184.980438195318,-178.164519995976,-255.204755092242,-179.066130115416,-275.024358815232,-167.941245709892,-155.503726972704,-146.633582683576,-209.810215394421,-154.032679691051
ROE Direct Suppression,-189.626717342574,-172.04412650651,-215.938150651413,-177.633273969254,-216.59749896758,-208.616378873988,-209.052140641483,-186.066453483762,-253.159119070578,-208.603572755689,-243.290726102429,-191.120463575623,-194.664677990261,-178.113172677961,-263.738719769852,-171.875732386089
OML,-160.307564514101,-146.937582290438,-211.827806156795,-147.776258303117,-205.437611472254,-195.909648974399,-174.470412200316,-163.345601211217,-264.376844418765,-198.873005203521,-243.153722055908,-162.034822996595,-168.806814492398,-147.940814178431,-305.458966338156,-148.427502779342
GML,-176.851903886407,-166.766368214103,-149.518262078136,-111.702237638747,-190.08907548533,-174.492865419222,-191.81422832402,-189.400517194929,-226.941517770767,-160.010041795387,-170.81953641077,-115.970577299045,-181.101031067828,-158.948713253882,-287.002980933243,-166.666774712098
