originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
Generalized Competitive Suppression,0,-225.175775941828,-231.721503758535,-196.729398460803,-246.239957610244,-208.780595996893,-250.321738007163,-241.466533911423,-243.090857695636
Generalized Competitive Suppression,0,-218.495752505675,-212.286251770297,-199.497809778792,-236.170666014962,-190.973234101755,-227.803107247472,-215.200703328872,-265.849744896171
Generalized Competitive Suppression,0,-227.578078563189,-238.791088838082,-211.800958482821,-245.217668437644,-240.858022854531,-240.603250408734,-212.657283887521,-232.806339443011
Generalized Competitive Suppression,0,-219.834681484563,-183.372139788392,-189.365642010726,-241.283019843175,-196.3956412076,-199.337094915859,-192.960571900568,-244.809283439606
Generalized Competitive Suppression,0,-208.460310184786,-233.561670739544,-186.308549911702,-230.072980401054,-177.804524260927,-239.565346369554,-190.09609245595,-216.844833981514
Generalized Competitive Suppression,0,-247.513974785609,-286.583078210187,-186.4347695298,-282.446656017282,-226.093645172829,-307.396920163981,-212.275381653296,-364.05120451519
Generalized Competitive Suppression,0,-221.466021028063,-188.563251106112,-176.324734352589,-240.889224511738,-192.807627196166,-207.836946512592,-185.542691662905,-227.576717249018
Generalized Competitive Suppression,0,-216.775143226945,-221.088738074581,-192.236575586699,-237.909439022668,-196.662245346021,-245.207474547086,-199.644361450172,-222.361105189308
Generalized Competitive Suppression,0,-213.24332626674,-350.495889268154,-181.426823711395,-231.091524496718,-168.115479862036,-204.736831556023,-193.769490830849,-223.612086139062
Generalized Competitive Suppression,0,-222.447843910927,-235.799105068461,-185.398020750154,-257.915212951498,-201.642583690742,-253.993769368022,-206.038490000989,-322.928656759855
Generalized Competitive Suppression,0,-217.192443985255,-193.42777078219,-197.550749202719,-233.825459275061,-178.734453552769,-205.53546449948,-207.719408111827,-221.169040383837
Generalized Competitive Suppression,0,-222.100474791325,-248.449649708493,-183.007553864564,-242.361714196798,-240.434557232135,-247.116246281285,-189.878538842917,-230.709039562394
Generalized Competitive Suppression,0,-223.10635856541,-214.449396695403,-198.990998375171,-242.270754723447,-214.774391439602,-229.701391760804,-212.225941464692,-245.453614752599
Generalized Competitive Suppression,0,-212.749214950563,-208.486658766021,-176.073128971441,-237.340092526622,-237.52166792745,-235.538677904521,-181.556683016329,-231.656708232124
Generalized Competitive Suppression,0,-219.006799752019,-188.071352711457,-209.21879628215,-232.73642250438,-176.099170986807,-199.681875012223,-213.951623340708,-236.437726040675
Generalized Competitive Suppression,0,-222.098865458489,-243.042651138544,-187.830200124809,-239.345123259375,-245.685313510637,-244.525093989956,-192.970862104878,-245.928818065626
Generalized Competitive Suppression,0,-214.937311043703,-214.077984580278,-180.88770723459,-252.239941508374,-168.216238008113,-244.217617397566,-201.654745832064,-225.739903650555
Generalized Competitive Suppression,0,-222.7948709643,-219.199233904756,-200.921645717603,-243.074746972914,-185.321924778386,-210.637378762317,-227.719663531501,-288.463744588453
Generalized Competitive Suppression,0,-208.915334760069,-218.461697877211,-178.747305365706,-234.046652052608,-176.036442669572,-216.999679263731,-182.819776754792,-210.819635968187
Generalized Competitive Suppression,0,-211.031175559769,-188.700075872633,-176.14833110818,-228.855668795374,-167.970521121127,-198.42750661447,-190.4677341372,-221.649627495484
Generalized Competitive Suppression,0,-222.667873346681,-202.813971497391,-191.732521737389,-241.487582900267,-180.886728022481,-238.064686906876,-205.746545866223,-228.59309453184
Generalized Competitive Suppression,0,-210.120536327349,-238.933155980751,-196.210057517482,-229.961148304206,-289.142381573834,-246.851525967886,-197.930519117326,-246.028098817638
Generalized Competitive Suppression,0,-213.143144540971,-191.587491594544,-194.294338909856,-231.005405258172,-185.094333752311,-196.81948657125,-201.562586728087,-242.426405447615
Generalized Competitive Suppression,0,-218.334058983591,-204.113245941982,-183.236308466506,-235.856504909701,-195.904170323517,-213.638274606162,-191.511618873824,-233.609766355194
Generalized Competitive Suppression,0,-213.344240802932,-209.722884065875,-173.539089781567,-234.983044975386,-200.078895397371,-218.340340032204,-178.804412991231,-223.699747465752
Generalized Competitive Suppression,0,-211.667450275105,-218.387308847898,-198.555893454003,-234.823357952432,-252.401429434555,-228.382203123453,-200.912391408213,-243.397039732124
Generalized Competitive Suppression,0,-226.401273732628,-184.376116903424,-217.675357625887,-254.103546084299,-210.623132280528,-230.266452450377,-239.753560871315,-379.298062073311
Generalized Competitive Suppression,0,-236.716395529451,-221.813125546862,-188.73794246496,-252.867526523747,-175.508417459045,-205.606724742458,-205.823225717163,-259.006572456614
Generalized Competitive Suppression,0,-203.965223185862,-190.341652772064,-188.950569090647,-224.172822213972,-172.384941059132,-200.795632197588,-193.398315509684,-211.489942123262
Generalized Competitive Suppression,0,-218.672226624627,-301.630328104264,-185.763479079247,-248.96093650461,-249.55665563603,-359.434078125554,-253.423371314376,-274.307199190649
Generalized Competitive Suppression,0,-226.242744653791,-202.83597587858,-206.218054621634,-239.413509506643,-199.688731367801,-211.607859856447,-214.120216681311,-228.922406027161
Generalized Competitive Suppression,0,-220.107903915865,-209.520074431726,-169.573416049861,-243.063338894525,-184.96019745942,-215.455421171472,-182.556307459051,-239.302411635439
Generalized Competitive Suppression,0,-222.345989412583,-205.65534785598,-188.743021180741,-237.870768398736,-203.526537874113,-217.9063596563,-207.454193334427,-275.72682550028
Generalized Competitive Suppression,0,-218.820782514565,-240.228869206272,-191.633869145478,-234.573431017221,-186.942553548259,-247.4388733313,-195.871311763489,-227.402338526919
Generalized Competitive Suppression,0,-212.912965071538,-208.845936232988,-182.166860676258,-235.846180790619,-207.047796323979,-215.054839400785,-189.570976467837,-265.2201116429
Generalized Competitive Suppression,0,-205.191414781923,-222.564436748202,-186.431859447651,-234.532760826471,-177.634671215608,-233.239246496491,-187.948816267964,-258.708978206647
Generalized Competitive Suppression,0,-209.575215830412,-188.270742473416,-191.42336368773,-227.468384162631,-206.984526930296,-193.156251791568,-198.556068216092,-229.724205822894
Generalized Competitive Suppression,0,-212.072335594046,-209.288047339365,-181.648427387771,-236.251902311076,-179.356874544987,-228.463469184379,-192.173127201363,-216.241093480095
Generalized Competitive Suppression,0,-218.058220182707,-228.465806738171,-191.367868715372,-239.143709316195,-237.873806763193,-226.801877810872,-195.732282412232,-235.417947679103
Generalized Competitive Suppression,0,-221.063354377219,-212.257851807794,-185.347335794507,-236.201658218046,-164.268783762588,-206.180577807248,-193.909500413783,-233.425366315486
Generalized Competitive Suppression,0,-229.701601126016,-233.075126114968,-200.365567101069,-242.96525859818,-192.371846269758,-244.573016757599,-207.695066521102,-238.107807775814
Generalized Competitive Suppression,0,-205.181397608272,-190.935322374472,-182.15636044846,-224.903745772391,-179.944117591424,-199.555920216161,-195.561626749453,-263.0717026123
Generalized Competitive Suppression,0,-206.246988041485,-193.603352398,-148.992109259794,-233.138905317505,-163.896374628609,-205.624766705343,-155.580601326575,-293.390803767063
Generalized Competitive Suppression,0,-234.004089368402,-224.032154983876,-205.015046095206,-250.495324429724,-207.47574807348,-220.815745006582,-213.158258426895,-261.270505072021
Generalized Competitive Suppression,0,-233.008287580546,-344.173530158987,-196.579064298015,-249.442022958798,-191.607143630499,-242.46223198247,-211.804393542284,-240.124910271528
Generalized Competitive Suppression,0,-227.532694509291,-232.696528777009,-169.248554841519,-267.52604452539,-174.440540754285,-265.64402123158,-176.960993597155,-245.428864654479
Generalized Competitive Suppression,0,-214.775778810052,-197.992092031138,-177.14708312967,-229.030374023715,-147.124628576002,-216.928948718759,-193.656456704697,-248.29667915722
Generalized Competitive Suppression,0,-209.604905671068,-193.546470090824,-170.650902828428,-228.610352159497,-193.356984826633,-228.822485038977,-177.568397300487,-218.158650310601
Generalized Competitive Suppression,0,-222.971917288523,-213.095702650179,-223.797326449184,-236.659279941329,-199.131820045562,-213.867723970193,-231.200520587395,-240.002686281915
Generalized Competitive Suppression,0,-207.965828138631,-229.334275644109,-190.810959995989,-229.580437465339,-193.189355643819,-236.68849682823,-192.885770183984,-225.14043686583
Generalized Competitive Suppression,0.1,-223.022244395973,-469.31241379662,-180.421782740569,-244.170096619557,-185.284287178008,-245.681628155881,-188.795944938871,-238.602545410218
Generalized Competitive Suppression,0.1,-218.529828926626,-226.890452093128,-247.584390663687,-246.059692069172,-322.917291526895,-264.318899717433,-258.685598872486,-236.788664465433
Generalized Competitive Suppression,0.1,-220.73621462205,-214.94769822163,-192.650033796205,-239.409703857878,-175.685657006525,-213.083629807056,-196.513603873244,-229.130387617717
Generalized Competitive Suppression,0.1,-221.879035529601,-213.077913682665,-199.422543897628,-241.224071818902,-248.109939824062,-217.766376700466,-208.857106532474,-236.703659325427
Generalized Competitive Suppression,0.1,-208.984717086258,-196.605814917311,-192.44666809716,-227.786694354042,-173.915896310607,-201.877307483285,-194.255398981662,-225.033373243136
Generalized Competitive Suppression,0.1,-232.541274628899,-244.190124642435,-230.006722068071,-246.094222156217,-250.753539254885,-246.43597262964,-230.904696908357,-302.139256033701
Generalized Competitive Suppression,0.1,-216.950755159418,-194.631841631471,-185.407870865196,-239.059320073523,-173.343779645427,-210.904875115153,-189.035653460268,-223.702078329466
Generalized Competitive Suppression,0.1,-223.03710267368,-198.193377468629,-214.817685505281,-237.799786033166,-164.288897706201,-220.361699437221,-213.446781456905,-247.221045463786
Generalized Competitive Suppression,0.1,-207.433927859195,-228.886195716612,-184.993051362222,-229.713145724093,-219.983212627605,-234.731384794915,-191.524126797859,-215.369804213794
Generalized Competitive Suppression,0.1,-226.360266025886,-226.609065072683,-190.856533383882,-243.462226622477,-163.196733277995,-234.114359840345,-191.553049110052,-296.068426198827
Generalized Competitive Suppression,0.1,-216.617979061689,-262.28193066852,-180.8045842816,-236.439699073436,-159.230417654218,-222.797645809839,-187.015003720364,-237.135298939122
Generalized Competitive Suppression,0.1,-213.975680902887,-184.953466750544,-187.354213912585,-226.355334292723,-155.593915181851,-198.717873478595,-192.970587985943,-217.976760566563
Generalized Competitive Suppression,0.1,-221.708329800192,-209.262767153395,-195.863241427707,-235.649480029344,-199.777130265909,-209.692334632356,-200.678396725522,-231.354118609317
Generalized Competitive Suppression,0.1,-218.289345869318,-192.425001003753,-194.861828796375,-235.819915571917,-176.217115518892,-201.101174013207,-199.837241837953,-232.540936507225
Generalized Competitive Suppression,0.1,-206.433659552881,-185.36975670063,-196.651008024462,-224.108929550072,-202.316081375075,-185.636147697512,-195.547683905882,-216.710699919726
Generalized Competitive Suppression,0.1,-214.634758411942,-212.381305788448,-178.289834322307,-233.786525089127,-190.102067543966,-210.043422592436,-172.398648999426,-301.841703902167
Generalized Competitive Suppression,0.1,-242.326697685921,-235.473437249264,-200.831943874556,-263.195182951391,-237.521430618593,-243.381721209239,-209.754477022957,-300.608669608815
Generalized Competitive Suppression,0.1,-225.830500343575,-252.927702247805,-201.07018510551,-244.683718436681,-180.980146607576,-226.412315394334,-207.391853494518,-239.230004595581
Generalized Competitive Suppression,0.1,-216.735665487578,-193.033342632301,-188.294919061629,-235.741158835996,-187.917584605277,-198.247130988075,-195.403838750867,-218.578444803705
Generalized Competitive Suppression,0.1,-220.566940039231,-230.508461058647,-192.268135846182,-242.504399057477,-186.406710603444,-223.143157080596,-193.08375991603,-266.852689820767
originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
Generalized Competitive Suppression,0,-223.44467407473,-248.785615317754,-206.739692282226,-238.69971815126,-195.755431953093,-233.815670021961,-222.458076619936,-242.08157222298
Generalized Competitive Suppression,0,-210.500527140234,-229.791880330069,-190.026108907761,-229.195260971771,-186.509140505156,-263.858005158099,-208.061994236559,-242.895348844618
Generalized Competitive Suppression,0,-215.608482821398,-197.200589580638,-188.158818077611,-233.027832929079,-195.416173377402,-200.229416003254,-194.411775689641,-223.482341747955
Generalized Competitive Suppression,0,-215.285168518691,-187.705830497154,-178.17008221866,-235.69467076178,-169.819015557288,-178.724335619627,-189.688190112016,-230.128725504916
Generalized Competitive Suppression,0,-210.402856258973,-238.565126108923,-195.33747427696,-236.783779158138,-228.312449449759,-247.821703456389,-209.66437122488,-216.384593759412
Generalized Competitive Suppression,0,-214.847631352985,-216.024492956364,-187.774199752508,-233.714788714745,-215.304316327149,-223.490935623795,-188.960839697707,-249.484920364792
Generalized Competitive Suppression,0,-206.414763060373,-279.899664953491,-195.143544308994,-230.412362967428,-353.211269004615,-210.516710733099,-212.930036601002,-246.029104264066
Generalized Competitive Suppression,0,-207.169141213259,-254.327541764084,-191.208559764526,-227.245082682557,-198.338810301725,-296.23731763205,-196.320263418751,-236.540319585769
Generalized Competitive Suppression,0,-220.200330313857,-278.242342439333,-190.098704304302,-239.704841528521,-294.063081721845,-275.758576443204,-198.592050156148,-238.976784881719
Generalized Competitive Suppression,0,-211.661722745504,-188.931449963262,-183.268157587249,-238.273112015174,-170.866903347193,-207.831827843151,-198.723333648895,-249.167738116612
Generalized Competitive Suppression,0,-204.952008696396,-179.959392820529,-176.96707008694,-225.582820966933,-173.740387161124,-183.51476069604,-185.476858953937,-221.905155493581
Generalized Competitive Suppression,0,-221.496260977635,-213.302022204577,-217.092286031313,-241.390604831931,-190.959090685949,-245.378092623799,-226.913185897982,-233.660041104855
Generalized Competitive Suppression,0,-208.278304577926,-215.276339047679,-204.459302947655,-224.042602484181,-234.37890477776,-201.60280368746,-208.928978948684,-274.356330041378
Generalized Competitive Suppression,0,-220.775842430757,-212.826700197543,-180.729063840708,-238.773892324534,-182.833635601523,-245.076474332515,-196.756455910271,-265.30384139353
Generalized Competitive Suppression,0,-207.259050624149,-222.156439958254,-182.295391465289,-229.940751603815,-223.996732028873,-236.615505255483,-184.958493522397,-244.385809887787
Generalized Competitive Suppression,0,-220.979725933408,-208.616530977243,-199.744182636625,-238.153669834173,-174.298694817218,-216.758376125872,-210.679027483925,-271.918643621266
Generalized Competitive Suppression,0,-217.221315050392,-232.714716797566,-186.76842956242,-237.051261954371,-191.848258252528,-238.599739049495,-198.072870578148,-222.566744035986
Generalized Competitive Suppression,0,-215.706627091607,-246.061250697565,-185.241461098262,-236.516424459748,-188.572778330734,-272.101517373851,-205.166913958208,-291.930850328601
Generalized Competitive Suppression,0,-234.818201634599,-228.547456982693,-186.850626940936,-245.712734934382,-243.977530865107,-224.072278470374,-208.267264618976,-242.087595019547
Generalized Competitive Suppression,0,-229.566047842428,-237.780722409739,-173.98687286252,-252.01489914476,-255.173546538417,-256.183662479496,-200.322859186048,-238.612217758197
Generalized Competitive Suppression,0,-216.729455096642,-192.129789139368,-193.208763116483,-241.599006589897,-157.385384912003,-225.67673737826,-202.384626880843,-274.660327831523
Generalized Competitive Suppression,0,-227.045525707608,-223.026867041424,-185.4509131958,-246.021065657917,-183.027516746969,-235.071168760598,-196.424780710677,-234.499171343196
Generalized Competitive Suppression,0,-216.454551225781,-249.40659267215,-184.696822761415,-237.463713061758,-202.863272158618,-221.098404384841,-187.840482613285,-226.457556838486
Generalized Competitive Suppression,0,-203.920028810358,-209.994341716754,-175.999927893853,-224.701645074542,-179.432191378397,-234.801670985167,-178.121158475009,-229.153398763861
Generalized Competitive Suppression,0,-212.429877126609,-242.352476672478,-175.724226312269,-230.37239711927,-153.290870587354,-228.634993086767,-183.941854845454,-232.297538039139
Generalized Competitive Suppression,0,-229.38822501644,-273.125254020392,-178.818757972499,-242.886121614032,-288.046207378002,-266.582319648778,-207.309009642254,-257.878913517992
Generalized Competitive Suppression,0,-217.942796639085,-187.046482410402,-197.559517582314,-232.787089355462,-265.671387015537,-193.84102755888,-215.694478331147,-240.440757592525
Generalized Competitive Suppression,0,-223.045459269546,-244.01920912563,-173.799647242751,-244.096394265952,-167.023587604219,-250.18743818637,-178.854899514633,-259.482908162602
Generalized Competitive Suppression,0,-206.642423740086,-198.151787373059,-189.472343479916,-223.444693453327,-205.798491305819,-204.849805161085,-206.291671104817,-222.472905056284
Generalized Competitive Suppression,0,-266.373232366254,-233.626570959019,-193.260697415852,-282.732977841543,-166.690681692598,-229.118786412879,-239.02217871803,-272.916013149202
Generalized Competitive Suppression,0,-229.256644126814,-200.847846033066,-197.565609993932,-247.353076071714,-159.130265907795,-194.89147494997,-204.254808238508,-255.991464659634
Generalized Competitive Suppression,0,-222.565232428987,-217.351275973776,-175.869665515497,-240.845505411427,-224.499413260817,-218.490774631339,-193.763649459977,-231.841761267578
Generalized Competitive Suppression,0,-221.611104299056,-247.330979989267,-182.936155912872,-239.823269433862,-207.24941277914,-248.772955982355,-189.879560598413,-239.937599854925
Generalized Competitive Suppression,0,-238.023008678541,-238.741225057044,-187.952997307218,-258.895418707545,-178.229196338778,-238.722650684383,-204.013358579619,-273.2251671673
Generalized Competitive Suppression,0,-214.469241466781,-239.706810816507,-191.056979309177,-233.82816947509,-221.238032104565,-244.067583960939,-196.748707864634,-225.829334794021
Generalized Competitive Suppression,0,-224.874040298546,-279.272234916228,-182.711167799679,-248.279888525072,-150.710728678236,-255.372204251679,-206.015868372879,-291.669550818345
Generalized Competitive Suppression,0,-254.473577871422,-279.138513665992,-198.615215418082,-322.05826671088,-200.756045297729,-270.308633621853,-240.93789034382,-278.672374697144
Generalized Competitive Suppression,0,-216.242106894039,-235.311662638226,-201.384650667598,-234.733594095832,-202.600179596465,-257.165753543175,-204.115636493225,-217.624946824435
