originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
Competitive Suppression,0,-200.146853202235,-240.77846450569,-154.517981603791,-225.776169740669,-183.866431360292,-244.235429474318,-173.098652132645,-253.912120064628
Competitive Suppression,0,-199.4455768288,-224.568550208037,-160.683208541807,-219.689574256492,-230.098788622279,-261.504506978423,-179.186162664992,-245.98159434634
Competitive Suppression,0,-241.232608253023,-300.328263243075,-185.644560337017,-223.733078960314,-235.873627196989,-239.487651120626,-226.198582401344,-267.543883994365
Competitive Suppression,0,-202.065800949472,-260.390801611538,-169.528397735117,-226.026814695439,-229.931163407419,-274.080170002725,-176.952033076572,-227.430273166679
Competitive Suppression,0,-236.282776401172,-417.479771436165,-161.65063981933,-263.534245298695,-222.573119909949,-292.349045910971,-196.753591179689,-252.054956211848
Competitive Suppression,0.1,-210.406821535711,-271.15423418728,-209.42798098713,-239.355162658444,-366.58645978841,-316.024897445652,-217.983819717562,-257.256245223945
Competitive Suppression,0.1,-221.195958243747,-245.495668513627,-173.52652152291,-242.842380127327,-212.809210780203,-249.939746476765,-196.477444307802,-230.000353354256
Competitive Suppression,0.1,-227.800143355592,-240.129087789845,-187.716599547746,-252.658454860201,-284.239317133489,-250.38137661444,-196.139340582595,-257.223738937644
Competitive Suppression,0.1,-202.863260578327,-230.015435931998,-173.757074479398,-227.073586813147,-208.692233386674,-249.546550746583,-191.181909602943,-217.718644152068
Competitive Suppression,0.1,-238.361139591323,-279.846737174913,-188.426728548197,-256.629482907369,-290.317309845255,-286.635053556253,-220.079119281132,-315.38272147384
Competitive Suppression,0.1,-218.741766762378,-229.195760716196,-181.058078711955,-244.080190739998,-209.989511400734,-248.621105119817,-194.184828817221,-238.576355831649
Competitive Suppression,0.1,-200.345971754672,-241.811182998212,-166.221213124807,-222.215661960947,-199.600435989793,-273.591963073202,-168.617769976744,-236.331496261772
Competitive Suppression,0.1,-205.904846254049,-256.223433729634,-168.480978989905,-230.476710134713,-257.043628180872,-266.272503149041,-173.874232231908,-213.651617083527
Competitive Suppression,0.1,-224.933243929051,-250.484315324394,-174.613435906176,-245.35769753242,-200.060595227495,-261.896118313964,-190.761871665679,-296.691539263884
Competitive Suppression,0.1,-206.669806206798,-281.661713645962,-159.967174299786,-226.298046926024,-194.850894958936,-260.604069207898,-190.13551524895,-231.916809922238
Competitive Suppression,0.1,-188.15758425845,-221.917317598989,-150.213155247046,-210.46991743932,-192.521483393584,-241.304935724604,-157.876703994181,-197.129523497784
Competitive Suppression,0.1,-213.3875342171,-243.633021296507,-188.837123822869,-233.121898405188,-236.913514776678,-246.627160158587,-200.05453376801,-218.092259103049
Competitive Suppression,0.1,-209.862852186782,-229.671899100337,-169.624297201829,-231.607782993625,-212.562836004167,-240.437035701121,-186.321177605813,-229.261500015571
Competitive Suppression,0.1,-187.76719998458,-214.097866224494,-169.948069430569,-206.221570763079,-239.142076643463,-221.058737776872,-169.938226648605,-207.968985056987
Competitive Suppression,0.1,-216.325855387868,-246.720160935036,-166.093456973695,-234.212568531538,-218.259105485899,-242.541363172438,-163.376938844628,-291.050285662197
Competitive Suppression,0.1,-230.182697559713,-271.821630112304,-195.934451642324,-250.856572093659,-268.917722294722,-284.337833060985,-206.472789238419,-294.785689897908
Competitive Suppression,0.1,-215.191246309681,-284.047198813438,-178.432126962331,-233.345827507442,-217.360448427571,-262.686330135629,-188.506550130705,-233.973563002795
Competitive Suppression,0.1,-203.54001320846,-235.23918584328,-181.155058182796,-224.728750260353,-225.283274317525,-247.293483492176,-190.540385081132,-218.231953511302
