OML.ols,OML.mlm,GML.ols,GML.mlm,Competitive Suppression.ols,Competitive Suppression.mlm,Direct Suppression.ols,Direct Suppression.mlm,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.ols,Generalized Direct Suppression.mlm,ROE Competitive Suppression.ols,ROE Competitive Suppression.mlm,ROE Direct Suppression.ols,ROE Direct Suppression.mlm
-174.880069606122,-174.880069606122,-229.767353905052,-168.015201555628,-203.698372937688,-203.698372937688,-189.261491155105,-189.261491155105,-248.188564607646,-198.388614477755,-255.995317673727,-186.707661974779,-182.77431165732,-288.437664378209,-195.312179246177,-171.980872155296
OML.ols,OML.mlm,GML.ols,GML.mlm,Competitive Suppression.ols,Competitive Suppression.mlm,Direct Suppression.ols,Direct Suppression.mlm,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.ols,Generalized Direct Suppression.mlm,ROE Competitive Suppression.ols,ROE Competitive Suppression.mlm,ROE Direct Suppression.ols,ROE Direct Suppression.mlm
-191.573462488419,-191.573462488419,-287.527749562145,-192.937813251117,-207.033509374332,-207.033509374332,-201.307968864622,-201.307968864622,-266.230162122608,-202.563313359603,-280.70585019599,-183.673886655092,-193.748594609488,-185.372961900243,-325.074053290771,-191.917866623183
