originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Generalized Direct Suppression,-159.705866456756,-152.217585320799,-124.863909473027,-95.300103445477,-183.298269644998,-178.29300303247,-177.629967959892,-172.573892464213,-197.372847349763,-169.329423080689,-109.427045817755,-83.5613537053201,-156.716771037387,-149.090018938781,-282.107662564009,-151.33055308334
ROE Competitive Suppression,-180.648744621836,-169.494591715602,-233.21764187534,-162.628422228577,-211.133834762769,-172.566156544215,-202.333911073808,-193.039069939123,-249.531100822118,-173.391280779262,-247.067585674622,-175.706327611123,-185.54970500605,-156.690716246705,-388.654369099151,-169.486689349993
ROE Direct Suppression,-172.993933116325,-162.315382048972,-211.663386423436,-165.133750191568,-201.275061684847,-198.703613296777,-189.540761004249,-177.242172606187,-244.307347545102,-204.213103602772,-235.166574516336,-174.736246902147,-174.935238846578,-162.8158291458,-220.406533339419,-162.750024466261
OML,-170.993650810571,-161.764653152341,-227.685851820394,-162.701710315825,-209.010015358209,-201.671167156772,-180.422370049213,-174.016037011562,-241.28914049739,-203.550690943572,-217.408508842268,-170.523983177349,-178.799452514003,-161.671179672604,-240.542431554025,-161.466039284248
GML,-162.360301487566,-151.816539741917,-115.284261275301,-100.431780832184,-186.031105759394,-182.149251533213,-187.422503572527,-182.575647690166,-203.272041845143,-170.846692454506,-141.248241034214,-119.948407636961,-173.775186619504,-150.050985969908,-176.5366655281,-153.314250030263
Competitive Suppression,-188.959368800358,-186.804838828225,-232.014689956563,-181.434237197175,-160.226002702974,-155.05101370843,-214.305578845553,-211.412777982529,-208.788192130734,-161.525364441778,-244.270647222216,-188.682374607309,-175.023529157083,-157.361758117046,-270.928512156491,-189.475393086133
Direct Suppression,-193.726848815195,-191.05561546843,-218.857079539693,-187.311636784834,-233.424975533706,-225.764504322658,-178.007285606667,-175.58736660542,-259.12343951416,-225.864649678864,-215.858034843198,-175.937978968532,-198.049869538651,-191.791591927973,-249.255046942107,-174.830176479405
Generalized Competitive Suppression,-218.562909461486,-216.327128967595,-291.123238068994,-190.742578632772,-184.936217145916,-177.369418093685,-238.34699570624,-235.525134948284,-184.389666039837,-160.239415269632,-834.557934787003,-195.93339222146,-196.692483428636,-181.745366516628,-240.669960355227,-216.245507584111
Generalized Direct Suppression,-178.896884957846,-172.480713979869,-154.376926218838,-129.640728328825,-191.126583477121,-185.924126673229,-193.19536186288,-187.496386898544,-259.135005750947,-166.014355222553,-127.429161242772,-116.029697215043,-182.418411494729,-170.195877611668,-199.916524493203,-172.723746965814
ROE Competitive Suppression,-153.399568668689,-144.834972906401,-211.331445642522,-143.573607128354,-193.971870819164,-163.756562438173,-177.125650433351,-167.445255874972,-227.482578120758,-170.004205265982,-213.978691747375,-155.361018863066,-165.99573066923,-130.200946634949,-273.982227369062,-144.835422831975
ROE Direct Suppression,-162.070403794884,-156.963359908743,-1425.16343100493,-156.464285531594,-203.343325733577,-202.436411536754,-174.008045663211,-169.953582271643,-307.788635035991,-207.862961755783,-1276.78199564106,-168.274219034541,-170.433050847654,-158.272690882145,-372.472520609368,-156.265799642154
