originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,-180.932986387863,-166.564342488701,-206.77814642405,-166.814419408856,-216.175401460509,-208.977297685144,-186.599765673809,-171.568908330654,-252.232701257142,-208.162581095483,-231.566357952124,-170.579332842108,-177.984130512885,-166.459516180675,-257.571379513541,-166.866891754336
OML,-180.932986387863,-166.564342488701,-206.77814642405,-166.814419408856,-216.175401460509,-208.977297685144,-186.599765673809,-171.568908330654,-252.232701257142,-208.162581095483,-231.566357952124,-170.579332842108,-177.984130512885,-166.459516180675,-257.571379513541,-166.866891754336
originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,-164.803668008067,-157.187403254582,-187.998091123991,-154.43381269651,-216.213879352917,-203.429761828954,-181.359172808416,-175.628500263988,-261.272355292415,-199.494072107124,-189.086492282455,-168.551468045555,-172.040558353464,-157.649434499912,-169.038222527153,-157.195536243488
GML,-164.621101830222,-159.877171205531,-123.501981247031,-103.364244534627,-180.662714816045,-169.816643733705,-184.365026617897,-182.899518230285,-204.172144308218,-154.843957459528,-102.105542944619,-96.7521693106578,-164.454192417079,-150.667693198623,-296.623459353619,-160.153175717043
Competitive Suppression,-194.951185899699,-188.360166462197,-229.714827833084,-189.335016513287,-161.889602425773,-148.675934351682,-217.471189016289,-210.756123510252,-210.60322808946,-149.950524741309,-240.506688212807,-199.531108009035,-174.41919919107,-149.545503012979,-214.11546895364,-187.861895482932
Direct Suppression,-204.663572611691,-192.791047902758,-284.833474858608,-197.16881068575,-247.607882275849,-235.347006392241,-188.413178077091,-179.482830468943,-289.576881905696,-234.420336274828,-341.39758776997,-184.54742019156,-205.411530337362,-193.909419539646,-419.389624402245,-181.035109427429
Generalized Competitive Suppression,-199.527511613826,-197.047858087261,-214.933835301299,-168.945536493056,-178.882652211481,-165.732082157782,-224.364097174745,-221.607481167892,-184.554097190104,-144.490535546279,-214.824362541341,-178.459746025711,-186.745595399309,-170.421794728182,-217.109397488334,-198.073188136846
Generalized Direct Suppression,-166.912779178311,-163.554047501607,-137.45331251034,-103.845053367986,-203.945992433078,-182.85904081502,-189.062896345489,-183.994537588685,-237.992741208221,-162.674339968688,-149.611895841907,-96.9158244549486,-181.969467500372,-161.080342044535,-246.748466358212,-164.121851693308
ROE Competitive Suppression,-171.208555403203,-164.849616713901,-209.525430952472,-171.337141697531,-196.575705146631,-179.175282452371,-194.626064347265,-187.030995180277,-234.011828860585,-183.705410182825,-211.268542033073,-182.588546680944,-182.017873889219,-154.044500834423,-273.777348318693,-165.137930213072
