originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Competitive Suppression,-219.088763,-205.3540871,-282.4656985,-190.845429,-194.6100763,-170.1719458,-236.3133464,-225.8379397,-206.3286378,-170.8102822,-258.9168416,-200.0787746,-215.5596157,-172.3215984,-240.6516245,-205.3200824
Competitive Suppression,-211.8184578,-201.8405377,-234.0337663,-197.4927423,-200.2639134,-168.8971027,-233.1946478,-224.3506983,-272.7391394,-178.5499703,-250.2677539,-206.4204654,-219.6915338,-173.2386779,-262.4443796,-202.1733381
Competitive Suppression,-208.8888912,-198.3183261,-253.3193766,-197.7652921,-186.5722219,-176.2262631,-233.4710247,-222.1899591,-215.6810833,-181.595284,-270.7164708,-206.9803089,-205.195348,-178.396386,-224.7767666,-198.4792827
Competitive Suppression,-218.6944891,-212.8001951,-253.8803667,-207.1784077,-191.3235499,-180.8272007,-247.4547662,-232.0631904,-228.1752713,-181.0559151,-278.7340189,-213.4059482,-208.5815772,-183.2787966,-235.7459261,-213.426837
Competitive Suppression,-206.3363727,-200.7979111,-249.3867053,-196.1312209,-165.6189732,-163.8147476,-223.4499823,-218.2174171,-208.2745627,-168.0280844,-239.2858715,-202.4812779,-175.3731268,-166.4579071,-218.3064706,-201.0799925
Competitive Suppression,-221.010219,-211.4032142,-298.2890506,-208.7167684,-187.0739623,-181.2755823,-239.5578355,-230.3451433,-291.1494897,-185.6344901,-276.6580648,-215.4971846,-185.6832261,-179.0254056,-253.6301876,-211.5071635
Competitive Suppression,-231.4228536,-213.8100223,-292.7299519,-209.9319789,-185.3937594,-180.7362204,-260.2549584,-233.8312995,-234.9625712,-187.6625061,-325.8648401,-216.7050832,-198.6809339,-183.9729178,-254.2476943,-213.7350883
Competitive Suppression,-224.2259582,-198.4928558,-258.5458551,-190.5391937,-162.6181784,-159.4424652,-233.6378309,-219.447953,-250.7300492,-162.0836062,-261.1707775,-195.9913782,-195.7322112,-163.5042931,-239.5707525,-198.6972656
Competitive Suppression,-220.3162698,-208.8214424,-235.9521766,-197.322697,-180.8860383,-167.389691,-242.3573097,-227.0140127,-210.3212249,-164.7103179,-244.0448631,-203.9901106,-213.3881093,-170.8299676,-245.7947906,-208.7890012
Competitive Suppression,-210.5479957,-204.1326975,-230.3921238,-196.4747189,-176.1928658,-169.9264194,-229.8182484,-223.1370823,-199.378245,-170.1363179,-243.6986939,-205.01175,-191.8802992,-176.175986,-253.7021617,-204.0137364
Competitive Suppression,-207.4113393,-202.8316482,-269.9202562,-198.2437408,-176.6269751,-161.9175338,-228.536857,-224.8852786,-321.0119482,-170.2220377,-276.7895272,-208.3984128,-180.0205372,-161.913433,-214.6050074,-203.0384551
Competitive Suppression,-211.147297,-199.5992142,-233.1189071,-190.4720288,-172.4280574,-158.3926796,-232.9805715,-221.481379,-216.411721,-162.0251468,-236.8828392,-199.7273192,-192.6555921,-162.0473612,-257.6624157,-199.7128857
Competitive Suppression,-206.983222,-202.8832252,-290.1805646,-201.3129256,-174.8723306,-173.2249466,-228.3376177,-222.4669783,-217.680763,-180.5659558,-297.9329296,-205.4505791,-183.6285845,-175.7130754,-238.8409288,-203.504101
Competitive Suppression,-217.3909558,-206.4827496,-289.1564336,-197.3141919,-175.2708246,-165.1030181,-244.8205482,-226.0150272,-237.4518581,-169.423796,-295.1366152,-201.3189241,-190.5833953,-173.4848918,-230.0038205,-205.9163378
Competitive Suppression,-222.0886874,-207.8816979,-251.0254355,-209.7415827,-185.8165735,-172.0180016,-244.0473317,-227.5955436,-239.5893859,-177.646937,-259.7617438,-215.7241244,-209.8862128,-174.6196378,-260.9298265,-207.8742386
Competitive Suppression,-209.5634993,-196.2580464,-273.5229808,-193.3970365,-165.8435593,-160.2317265,-237.0332814,-215.6511434,-224.3889847,-163.9558153,-304.0842768,-199.4482887,-204.8146881,-163.555695,-244.828582,-196.6354016
Competitive Suppression,-222.1513928,-207.1660145,-266.448706,-196.1193094,-171.0065594,-166.907661,-246.5252626,-223.5751992,-262.9158926,-170.6856497,-228.5098489,-199.4882554,-185.6990755,-171.2898872,-238.6992377,-206.9117449
Competitive Suppression,-219.0096116,-213.3093495,-233.3463759,-209.8515837,-171.396859,-169.9635053,-239.893059,-234.9329634,-188.4766783,-169.7388621,-256.7291913,-219.9722776,-194.924659,-174.8552268,-262.605812,-213.4687769
Competitive Suppression,-211.7435235,-203.4526648,-265.6157178,-188.3567113,-199.3835567,-175.2721662,-226.9887361,-220.8168553,-204.0195274,-174.4196639,-246.2511976,-194.9139243,-225.1418387,-178.9041971,-278.1224124,-203.6442052
Competitive Suppression,-227.2027151,-213.6353514,-257.7383517,-204.2755687,-191.6317084,-179.1354048,-249.5623446,-231.2851752,-249.1129086,-183.9176731,-303.8071249,-207.1307866,-214.355605,-183.5171209,-259.9122717,-213.3304675
Competitive Suppression,-203.9027186,-201.8543392,-250.3460694,-200.2072137,-176.6425836,-174.4781925,-229.0601008,-222.4444967,-227.1788449,-181.1940097,-271.2016104,-207.7378421,-187.0251738,-178.340302,-261.8506547,-202.0975937
Competitive Suppression,-238.559595,-204.6008329,-256.0167539,-202.0026232,-176.4882885,-172.434918,-245.2439856,-222.0320035,-214.2115334,-179.9211458,-276.2356139,-210.6213634,-208.2051475,-176.199231,-342.4087377,-204.5881968
Competitive Suppression,-213.1504793,-195.6508201,-257.4693908,-198.7236375,-185.4332186,-167.6342693,-225.0146967,-217.1150856,-362.8875867,-169.3957657,-239.7834552,-208.7263366,-198.8589706,-170.2892633,-244.5362441,-196.26632
Competitive Suppression,-209.3445232,-203.0421879,-400.3603647,-204.6585282,-180.2461042,-183.1998048,-228.2812546,-217.6249164,-299.4170972,-192.7194927,-339.8431444,-206.5603412,-196.8701388,-184.0879338,-260.6782278,-202.6904675
Competitive Suppression,-213.9162624,-198.2345642,-288.1801926,-191.1660231,-179.3889243,-172.3254037,-242.8831978,-221.6279406,-217.5696177,-177.4350741,-305.1242835,-201.1140349,-196.6959462,-172.7308727,-281.8397543,-198.0281825
Competitive Suppression,-211.0277259,-193.1675477,-225.7592247,-183.6470885,-159.8784454,-146.6165169,-245.2032333,-215.9323573,-292.7376976,-147.6782199,-247.0727466,-191.8797854,-204.3865668,-149.0935802,-230.9160454,-194.3252099
Competitive Suppression,-224.3080287,-198.4921084,-265.9693051,-196.5773345,-293.1755021,-178.6510087,-246.6767866,-219.2107638,-564.9545714,-185.0858343,-295.3769262,-205.6407956,-304.6405843,-175.5307012,-259.1135941,-198.5705785
Competitive Suppression,-200.8955672,-199.7824445,-229.2758763,-199.2375001,-177.9234241,-172.9653096,-227.787359,-221.6677689,-228.5319265,-184.9086826,-246.878297,-203.5818325,-194.948337,-177.7878935,-207.9322427,-200.1753622
Competitive Suppression,-211.9878834,-208.6833277,-238.9273495,-206.4568773,-164.5256989,-166.584882,-237.8824953,-230.9654663,-244.7900232,-168.4843442,-249.8782037,-216.4449266,-178.2667933,-168.3079313,-233.5025947,-208.9175183
Competitive Suppression,-246.8057764,-216.0441408,-292.8848119,-204.8852485,-191.4412874,-181.6998682,-260.7676614,-234.3397703,-264.0251378,-183.5580083,-291.009235,-210.1120508,-233.0840226,-186.0022214,-247.5275001,-215.9382835
Competitive Suppression,-201.3647999,-192.655219,-274.1162131,-183.383862,-174.185935,-167.8173297,-221.9917105,-213.8163932,-229.1599317,-172.7043881,-283.2643974,-190.8665232,-189.4494425,-171.3242811,-225.8290522,-193.0694575
Competitive Suppression,-209.8407291,-191.6235702,-262.532215,-190.0996996,-169.0627509,-164.5910592,-228.6366096,-211.461419,-383.294797,-166.463134,-275.9009957,-198.8129789,-175.6587384,-161.0071352,-254.0096295,-191.8090744
Competitive Suppression,-222.3850355,-204.8303786,-222.8244933,-194.9181207,-165.0507052,-157.8356451,-251.0080072,-225.9882514,-172.348702,-157.8775289,-251.8009105,-204.1392342,-197.3824134,-160.5802209,-244.9441724,-204.9832388
Competitive Suppression,-206.5245767,-203.2228403,-279.3915802,-210.750996,-176.6661423,-174.358559,-220.5293704,-217.0082469,-215.4191979,-185.1937666,-319.8641655,-212.8430897,-185.6739809,-173.9817796,-214.7774332,-203.5571549
