originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Competitive Suppression,-208.7858685,-198.8127413,-243.0652956,-193.204797,-173.6537857,-164.8302101,-228.6072247,-219.7813977,-222.7746134,-170.3360927,-297.2835319,-203.1450921,-193.6413349,-168.6699956,-225.2706233,-198.9513233
Competitive Suppression,-207.5208,-198.2795338,-309.8649084,-198.5925659,-173.1490154,-167.7789129,-230.5899886,-219.5665564,-257.864065,-167.3593118,-336.2420966,-206.6195366,-187.3630764,-169.8835107,-212.9596929,-198.1685541
Competitive Suppression,-269.5572457,-199.6028646,-361.4634219,-192.3536831,-182.6075856,-167.9191835,-269.2319817,-226.8361388,-219.422824,-169.5506088,-281.8516692,-204.7740218,-275.5450193,-173.7470471,-311.1594205,-199.745355
Competitive Suppression,-207.9024325,-205.5181354,-201.0539333,-185.2314054,-167.1943046,-170.5998859,-228.6398827,-224.420372,-194.1564518,-162.9752473,-204.2694123,-191.6592658,-178.3685642,-169.9190369,-244.8676484,-205.4891694
Competitive Suppression,-210.1405277,-203.947271,-244.375278,-204.5519434,-170.8750844,-172.9283569,-231.1805068,-223.7576979,-201.4162595,-176.0648052,-268.2432126,-210.7508357,-194.9925543,-175.7479275,-247.4729587,-204.2377117
Competitive Suppression,-211.1325512,-200.8002657,-320.0811942,-190.1915334,-176.7595638,-172.7817292,-231.2660046,-217.6762015,-269.3900068,-171.9845122,-333.9949191,-198.2184516,-194.7337499,-171.4907029,-238.1187618,-200.9389205
Competitive Suppression,-214.2340322,-207.1341219,-253.4633028,-200.4920683,-163.2912099,-158.7098966,-238.7869716,-226.3900852,-289.6362769,-165.9977086,-251.4326126,-205.2035004,-197.4039295,-168.1003679,-224.6501279,-206.4214189
Competitive Suppression,-205.6748643,-198.0577308,-240.3803375,-190.3675519,-164.6683102,-158.1269457,-225.6293322,-216.1927481,-336.6690445,-159.3928979,-241.1200225,-196.6772148,-191.9224733,-158.1709789,-232.2494639,-198.2376207
Competitive Suppression,-222.8328095,-201.8763672,-362.9006273,-193.7161172,-179.6583748,-171.2413861,-235.7855515,-221.8261023,-283.5205976,-172.2830209,-303.9553295,-202.5169147,-232.7070275,-172.3916271,-250.2659035,-202.0768618
Competitive Suppression,-188.7349686,-189.2704881,-220.772289,-189.3665503,-166.8631484,-165.9366944,-212.4869898,-211.8138639,-241.0936847,-172.5257144,-232.0091544,-199.5869404,-180.2506637,-167.4271607,-200.118063,-189.6789822
Competitive Suppression,-208.7205896,-206.1598746,-265.7622125,-202.5020563,-187.0000362,-179.6123464,-246.1944658,-234.4210807,-269.5190544,-181.463551,-290.3534984,-215.8670192,-216.0016541,-184.5843641,-269.8789881,-206.6787708
Competitive Suppression,-192.9176477,-191.8204322,-258.3606428,-194.5203537,-178.9486924,-168.8569795,-213.7200913,-210.0764299,-230.2551786,-174.9015381,-247.403217,-201.2131715,-194.3214914,-169.474946,-315.1297488,-192.1645218
Competitive Suppression,-209.9713987,-202.3232631,-275.8225768,-197.6954635,-213.2647623,-185.292594,-236.2273479,-223.3750844,-279.2860942,-185.0475265,-295.8685376,-209.1357668,-222.9672972,-183.541136,-231.5560535,-202.2700201
Competitive Suppression,-208.3975441,-204.9433539,-249.365026,-190.7475281,-178.1656377,-172.9318293,-230.9933446,-227.1980036,-201.9369593,-175.0868168,-267.8700023,-198.3323554,-194.8613178,-179.0453739,-221.0851031,-204.9790635
Competitive Suppression,-194.3376777,-192.3818473,-229.3821115,-190.5579997,-166.0620092,-162.0590191,-219.3328983,-212.9715415,-215.9386511,-164.8975258,-249.7959153,-199.4991722,-172.1328511,-161.8230472,-219.734538,-192.813588
Competitive Suppression,-212.4618136,-204.3599882,-236.7005343,-199.0452228,-219.4545567,-168.9694226,-234.1671914,-224.6204769,-247.8139623,-170.4894101,-257.5241251,-206.5770218,-256.291582,-173.6148837,-250.6528132,-204.4592572
Competitive Suppression,-214.1940544,-204.7858907,-400.8182275,-202.0987362,-166.5111042,-158.9630871,-232.7889225,-224.3433076,-370.2862556,-162.4061154,-404.180184,-208.0545895,-188.5563695,-160.7197252,-248.80583,-204.7782679
Competitive Suppression,-209.7806523,-201.4049954,-245.5469418,-203.0705517,-170.3069564,-164.8266745,-232.0055084,-224.5217315,-184.1255864,-164.3270326,-263.2541665,-214.5425018,-180.7665784,-166.3991324,-227.1880221,-201.5679367
Competitive Suppression,-223.7063865,-206.5212955,-259.4113037,-207.0616671,-186.5312329,-178.404438,-251.3435877,-227.0990946,-209.0028536,-181.0839415,-266.7707305,-218.0583117,-214.0963707,-183.5092325,-248.9370121,-206.5739988
Competitive Suppression,-206.6726675,-200.6003185,-301.8773532,-196.8128561,-189.4684145,-172.0013326,-226.0517157,-215.6867568,-344.374979,-174.9968917,-277.2059422,-201.7942415,-190.0370999,-170.3962128,-229.8984279,-200.9229067
Competitive Suppression,-254.0277643,-199.1738699,-254.027232,-192.8238046,-171.3286862,-170.5347848,-268.4031489,-218.4194315,-230.3483679,-176.5300327,-261.42161,-200.2985078,-227.0280426,-172.6574936,-257.8102659,-199.3947783
Competitive Suppression,-207.5409695,-201.2862388,-250.5447456,-190.6090817,-179.0113545,-172.8053676,-223.388788,-219.0383924,-239.4674539,-173.8138671,-242.2597882,-197.1006427,-200.0204531,-175.3039081,-218.6320877,-201.319938
Competitive Suppression,-394.7399531,-204.3507373,-444.9782574,-203.145936,-171.9610421,-164.1128121,-251.8010075,-224.64787,-193.9365131,-172.3956019,-307.9710567,-209.25583,-334.8282669,-169.0773688,-522.6057,-204.3816902
Competitive Suppression,-215.9371316,-210.9227005,-293.9865219,-204.5627659,-186.4173405,-177.6760912,-233.6855521,-227.6491798,-239.529352,-182.4343517,-292.2637438,-210.6098696,-210.3247795,-179.2829556,-229.1557804,-210.8715991
Competitive Suppression,-228.0551164,-211.1976171,-306.0744827,-196.279676,-171.1325126,-166.2556731,-249.2179992,-230.492802,-185.3360571,-164.4283931,-294.576932,-204.0185462,-196.3366518,-167.8110802,-251.833345,-211.1976138
Competitive Suppression,-218.8304173,-202.417975,-252.5397275,-201.4475276,-174.4116058,-163.5467004,-247.7362918,-226.9987597,-206.1658407,-170.0061787,-271.1391894,-212.1681805,-183.5035755,-165.4080564,-230.6326016,-202.5399393
Competitive Suppression,-210.1611733,-200.9403337,-243.5146903,-195.7048385,-165.535687,-161.6060914,-248.2262889,-224.3501914,-197.4238052,-164.59405,-269.285367,-203.4766697,-188.8725492,-164.7556668,-228.6381891,-200.9094182
Competitive Suppression,-219.3182575,-209.3968756,-242.5443057,-207.9922363,-187.882191,-172.7314863,-239.6584175,-228.8788437,-231.6143213,-177.4761769,-265.5296616,-215.1542634,-203.4203797,-182.3907911,-234.2832813,-209.4789462
Competitive Suppression,-235.4259972,-196.8290554,-277.9576512,-190.6553491,-175.4721381,-169.4934203,-249.3024996,-213.7587788,-218.5852135,-174.8970922,-284.8163786,-196.5610289,-214.8279139,-177.3982751,-257.4213626,-196.8389514
Competitive Suppression,-198.6259021,-196.4461329,-225.1813079,-187.3252362,-162.558779,-159.83028,-221.310691,-217.1299535,-228.7043982,-162.3529314,-234.3840098,-194.2480152,-174.9274797,-161.0956074,-261.7828092,-197.2472611
Competitive Suppression,-208.2088633,-201.5170768,-221.9101065,-196.8490286,-192.1225211,-173.7645361,-226.0328885,-219.7445657,-293.7214188,-175.7407729,-245.8117559,-204.1109569,-202.4460512,-176.0668461,-239.7922739,-201.6450078
Competitive Suppression,-217.0836331,-207.5000152,-248.4387432,-198.1686556,-195.1644953,-170.0724501,-242.7641761,-229.0560257,-214.8237108,-174.9202091,-264.6957745,-205.0353711,-198.830831,-170.1231781,-261.9642458,-207.6961924
Competitive Suppression,-221.5060572,-218.392142,-267.9723747,-218.9201178,-190.0676535,-188.7852013,-237.8512806,-233.294443,-220.5494982,-194.1041576,-284.2020261,-222.7795397,-206.70583,-192.6022617,-260.4000179,-218.5719576
Competitive Suppression,-215.3525573,-206.5574941,-255.0887468,-201.3582778,-166.9222697,-163.0583417,-242.2213447,-228.0250684,-235.9678946,-170.4271331,-256.0149009,-208.8720435,-190.4125783,-169.8068578,-282.2833116,-206.4397638
Competitive Suppression,-215.9915836,-209.4044368,-264.600058,-205.3314728,-177.1428816,-168.3405752,-239.2240181,-228.6689116,-215.1660234,-172.1096993,-285.6317306,-212.5556028,-199.7354411,-170.8450719,-247.6461323,-209.3210961
Competitive Suppression,-201.1623863,-192.0364237,-234.9594789,-189.9460226,-196.4838549,-169.9765868,-218.7770617,-210.3584655,-204.681599,-172.7490332,-261.5410011,-197.8889162,-206.9550303,-170.4832161,-214.4619891,-192.388542
Competitive Suppression,-211.7574437,-192.9003595,-226.0322835,-174.8403389,-165.4994003,-153.8971544,-226.3034595,-212.5781262,-211.9750324,-152.0139366,-250.3949529,-180.6141799,-201.8724727,-154.9397497,-277.201154,-192.8881095
Competitive Suppression,-199.5714692,-201.1700823,-223.988844,-201.7522636,-159.9061344,-159.5183068,-227.2031383,-224.2700999,-187.2159143,-166.9178621,-247.1639879,-210.6445431,-180.7240919,-164.0987156,-227.9616701,-201.5635094
Competitive Suppression,-220.4297929,-213.0005261,-253.5483094,-216.0112969,-191.1926154,-187.2079785,-234.5480685,-226.4220644,-236.8844346,-187.0657996,-262.0112739,-220.6178615,-208.0138843,-191.5295253,-225.9641021,-212.6965119
Competitive Suppression,-208.9394647,-200.0904975,-303.0300224,-194.4430976,-179.565567,-172.7337217,-231.3346433,-218.4841378,-309.6299586,-173.2279869,-299.6040017,-199.7170949,-197.4375907,-178.9458584,-266.8570148,-200.3765733
Competitive Suppression,-227.5159827,-213.0779694,-246.5215534,-205.4211283,-193.9654119,-176.0998143,-245.1744838,-229.7265592,-219.1602509,-182.0318766,-256.7941336,-209.5794132,-234.6694526,-179.5427262,-292.5371416,-213.5102962
