originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
OML,309.708366625312,346.708190660896,390.889887116026,329.196622169898,421.480719254234,353.887352973234,326.68947234488,318.020674132609
originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
OML,272.009028021424,302.058044281113,378.366647419304,305.536431647595,401.51530535586,320.107018358327,295.199198313714,295.145541143393
GML,306.850989167041,150.149515263017,325.405229997473,358.638403753419,283.163491376495,176.608001511271,290.090874546865,331.344619512067
originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
OML,287.638947657703,315.586600347665,359.623288318717,324.416204804816,389.5651890261,333.882407035868,305.890678584551,310.765284364082
GML,316.826285740819,183.07443039035,349.369795463836,365.496951125629,294.460580840766,205.10917279968,312.799798683546,342.082268985643
Competitive Suppression,389.848005472874,395.859674753004,333.356841918099,430.275639441465,341.014981777006,416.967258601099,347.778812546307,415.38551345971
Direct Suppression,376.135575970694,393.202866795231,452.394722746353,365.351252493482,480.524491464695,391.610905295578,401.465917152675,380.190685829529
Generalized Competitive Suppression,417.632014493721,325.098717357242,355.871306485588,450.19197267649,266.684188719616,335.253263399208,362.542107889027,440.178100829663
Generalized Direct Suppression,323.049980221799,187.988078841764,353.932438033316,356.988962007836,313.401241487536,157.118563010584,320.283733352314,345.011062186988
ROE Competitive Suppression,288.841485134699,296.77830225558,321.104971658059,338.92272936455,350.919686730146,322.138514227126,268.561948759069,313.517124422271
ROE Direct Suppression,298.806737334589,332.419284973392,362.21016285464,341.008802877845,400.19938717263,349.305774206808,310.038559857904,314.514994512244
OML,283.097103794268,292.552699402898,377.086522538526,315.487582243279,399.642899832141,302.23822612729,308.134397435893,300.597166231797
GML,322.919780052537,170.976858455486,350.375165208238,365.057458618738,293.519022481393,185.872088327861,315.468120790003,347.898928876518
Competitive Suppression,387.312977266136,390.632017914882,328.609159179446,429.476707285533,352.028249813024,406.133996426992,339.161358784065,412.427330403651
Direct Suppression,367.863564413294,379.398909125142,433.156958365515,351.008724580201,445.568803418344,358.84087248842,387.029720731579,361.817045530633
Generalized Competitive Suppression,396.140964275747,318.267711131903,314.365511057305,429.355087296711,253.09076766871,324.607964137791,330.633739149447,419.034405363085
Generalized Direct Suppression,311.369542488063,176.588888777831,349.745661478576,353.45552671511,308.016392994141,150.179737520733,317.055206522901,334.104867798293
ROE Competitive Suppression,325.019129483487,333.578242795528,341.982167873193,359.622700419795,353.380819752179,354.288517372684,301.015491044396,349.501892371914
ROE Direct Suppression,302.906624687166,342.072962638675,364.356523086913,333.98012318033,402.302662076534,352.302614399175,321.780718998908,321.423105323805
OML,275.300805491229,310.047935873164,360.78234675412,318.521156752076,389.131047264994,339.072656752851,284.863971363126,299.672314837978
GML,307.78390334699,194.88555134925,347.955663425545,347.075066673676,318.421766592572,192.194173682697,309.798112224313,326.747030189144
Competitive Suppression,388.365020361894,391.883707867956,288.21284247009,431.106638021887,300.732527307817,412.883250062455,302.542216719327,408.956740042692
Direct Suppression,359.536292186513,377.546072267216,435.541140733247,346.757518186861,463.293513796726,376.267514265139,382.344616459989,361.105844405145
Generalized Competitive Suppression,401.91062957424,324.385755039312,333.628633666949,434.142785029784,246.204858251816,332.115592550195,354.963854010069,427.118061048914
Generalized Direct Suppression,320.389077278649,168.488888256624,341.409897132934,361.623635397115,286.347413447116,148.630059157102,320.530103743957,340.63667240097
ROE Competitive Suppression,306.378082668088,310.997261524304,359.046532175049,344.820941209808,389.395047387533,326.23449715508,295.075057618992,326.037499705823
ROE Direct Suppression,316.860183176794,351.719660082143,386.809551857049,344.924221442988,424.122625856662,362.912682893021,331.672131772732,338.741998848139
