originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
ROE Direct Suppression,-178.6322678,-168.6712107,-239.8682107,-172.0596188,-218.0536482,-209.4144058,-191.3941392,-183.1794379,-272.5434583,-209.6428794,-243.569597,-182.4294623,-180.4505432,-169.8723881,-295.6301442,-170.3939717
ROE Direct Suppression,-167.3105136,-153.4389555,-206.6517723,-157.6106086,-207.7508744,-198.6226698,-176.3250296,-165.1298041,-243.2145713,-198.2245849,-194.6735017,-162.3436475,-210.6662073,-155.7594588,-268.8253325,-156.809929
ROE Direct Suppression,-188.7514683,-153.1720598,-237.3740216,-155.4223157,-210.5957718,-200.0169186,-178.529098,-167.0213919,-235.795515,-199.6996905,-211.121375,-163.7272183,-181.9361022,-153.3386766,-177.0312133,-154.5530745
ROE Direct Suppression,-208.5404511,-162.6137751,-338.0491598,-163.5212014,-226.4496622,-203.3187432,-225.61023,-174.420574,-254.4426743,-203.9130296,-246.9178147,-169.339045,-219.4240858,-163.2340272,-214.6002363,-163.0934535
ROE Direct Suppression,-171.7408478,-168.3173194,-224.038885,-170.1390979,-232.1045019,-205.8393737,-181.5580076,-177.8577068,-279.8950107,-205.7115188,-272.2010983,-172.9078324,-200.9730306,-171.8958115,-269.4577767,-170.2951156
ROE Direct Suppression,-164.4935024,-154.9577441,-250.1425069,-159.1848116,-198.9586178,-186.1613922,-169.8683239,-165.0015508,-286.1993544,-185.8688623,-266.413911,-165.155814,-179.4776163,-156.0124706,-441.6369778,-155.7872878
ROE Direct Suppression,-182.3384746,-162.4032473,-226.1174132,-162.8160384,-210.0751484,-196.9331698,-187.8328756,-177.049745,-237.7454581,-197.7770793,-220.1738491,-170.5688634,-191.9326667,-162.4058002,-250.9885789,-163.9416131
ROE Direct Suppression,-156.634792,-147.7712776,-206.5139503,-146.9608956,-193.3758404,-190.2028168,-181.093787,-169.8578262,-238.6283429,-188.1890136,-216.7771893,-164.273203,-166.9551134,-148.4805321,-227.0150909,-148.2694543
ROE Direct Suppression,-138.9936021,-138.9647125,-197.4653379,-143.2333699,-215.1521559,-188.9789687,-166.592597,-166.1383557,-337.5204945,-187.152577,-254.5661089,-160.8664504,-164.3866621,-147.6188047,-158.1498892,-139.3859912
ROE Direct Suppression,-162.2548835,-155.4529132,-200.460862,-148.5314716,-214.443475,-209.7597648,-173.3286999,-165.8979957,-266.9042578,-206.1275567,-240.8221053,-165.548012,-164.6563313,-155.4421812,-249.0491035,-155.5738486
